"Year","Mo","Dy","Tsu","Eq","Name","Location","Country","Latitude","Longitude","Elevation..m.","Type","Eruption","VEI","Agent","Deaths","Death.Description","Missing","Missing.Description","Injuries","Injuries.Description","Damage...Mil.","Damage.Description","Houses.Destroyed","Houses.Destroyed.Description","Total.Deaths","Total.Death.Description","Total.Missing","Total.Missing.Description","Total.Injuries","Total.Injuries.Description","Total.Damage...Mil.","Total.Damage.Description","Total.Houses.Destroyed","Total.Houses.Destroyed.Description"
2021,5,22,NA,10545,"Nyiragongo","Africa-C","Congo, DRC",-1.52,29.25,3470,"Stratovolcano","true",2,"L,I,S",32,1,NA,NA,NA,NA,NA,3,5000,4,32,1,NA,NA,NA,NA,NA,3,5000,4
2021,9,19,NA,NA,"La Palma","Canary Is","Spain",28.57,-17.83,2426,"Stratovolcano","true",3,"L",1,1,NA,NA,NA,NA,924,4,1345,4,1,1,NA,NA,NA,NA,924,4,1345,4
2021,12,4,NA,NA,"Semeru","Java","Indonesia",-8.108,112.922,3657,"Stratovolcano","true",4,"T",51,1,9,1,169,3,20,3,2970,4,45,1,9,1,169,3,20,3,2970,4
2022,1,15,5824,NA,"Hunga Tonga-Hunga Ha'apai","Tonga-SW Pacific","Tonga",-20.553,-175.384,114,"Submarine volcano","true",5,"W",NA,NA,NA,NA,NA,NA,16.72,3,NA,NA,6,1,NA,NA,20,1,135.368,4,284,3
2022,6,22,NA,NA,"Popocatepetl","Mexico","Mexico",19.023,-98.622,5393,"Stratovolcano","true",2,"P",1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA
2022,10,9,5865,NA,"Stromboli","Italy","Italy",38.789,15.213,924,"Stratovolcano","true",2,"P,W",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,12,4,5868,NA,"Stromboli","Italy","Italy",38.789,15.213,924,"Stratovolcano","true",2,"P,W",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,12,4,NA,NA,"Semeru","Java","Indonesia",-8.108,112.922,3657,"Stratovolcano","true",4,"T,M",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
2023,1,31,5906,NA,"East Epi","Vanuatu-SW Pacific","Vanuatu",-16.68,168.389,833,"Stratovolcano","true",NA,"W",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,7,7,NA,NA,"Bagana","Bougainville-SW Paci","Papua New Guinea",-6.137,155.196,1855,"Lava cone","true",2,"T,G",NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,1
2023,10,8,5891,10709,"Sofugan","Izu Is-Japan","Japan",29.794,140.342,99,"Submarine volcano","true",NA,"S,W",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,12,3,NA,NA,"Marapi","Sumatra","Indonesia",-0.38,100.474,2885,"Complex volcano","true",NA,"P,T",23,1,0,NA,12,1,NA,NA,NA,NA,23,1,0,NA,12,1,NA,NA,NA,NA
2023,12,18,NA,NA,"Reykjanes","Iceland-SW","Iceland",63.817,-22.717,140,"Crater rows","true",NA,"S,L",1,1,NA,NA,NA,NA,NA,2,3,1,1,1,NA,NA,NA,NA,NA,2,3,1
2024,4,16,NA,NA,"Ruang","Sangihe Is-Indonesia","Indonesia",2.3,125.37,725,"Stratovolcano","true",NA,"",NA,NA,NA,NA,NA,NA,15.5,3,3200,4,NA,NA,NA,NA,NA,NA,15.5,3,3200,4
2024,5,11,NA,NA,"Marapi","Sumatra","Indonesia",-0.38,100.474,2885,"Complex volcano","true",2,"M",67,2,20,1,33,1,NA,3,521,3,67,2,20,1,33,1,NA,3,521,3
2024,6,3,NA,NA,"Kanlaon","Philippines-C","Philippines",10.41,123.13,2422,"Stratovolcano","true",3,"M,G,T",NA,NA,NA,NA,NA,NA,2.5,2,2680,4,NA,NA,NA,NA,NA,NA,2.5,2,2680,4
2024,7,4,6084,NA,"Stromboli","Italy","Italy",38.789,15.213,924,"Stratovolcano","true",2,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,8,17,5923,10744,"Sheveluch","Kamchatka","Russia",56.653,161.36,3283,"Stratovolcano","true",4,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,11,3,NA,NA,"Lewotobi","Lesser Sunda Is","Indonesia",-8.542,122.775,1703,"Stratovolcano","true",NA,"T,P,L",9,1,NA,NA,64,NA,NA,NA,23,1,9,1,NA,NA,64,2,NA,NA,23,1
2024,12,9,NA,NA,"Kanlaon","Philippines-C","Philippines",10.41,123.13,2422,"Stratovolcano","true",2,"T,P",NA,0,NA,NA,NA,NA,2.2,2,1,1,NA,0,NA,NA,NA,NA,2.2,2,1,1
2025,3,20,NA,NA,"Lewotobi","Lesser Sunda Is","Indonesia",-8.542,122.775,1703,"Stratovolcano","true",NA,"T,P",1,1,NA,NA,1,1,NA,NA,NA,NA,1,1,NA,NA,1,1,NA,NA,NA,NA
2025,7,29,6044,10923,"Klyuchevskoy","Kamchatka","Russia",56.056,160.642,4754,"Stratovolcano","true",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025,11,23,NA,NA,"Hayli Gubbi","Africa-NE","Ethiopia",13.51,40.722,493,"Shield volcano","true",NA,"T",NA,0,NA,NA,NA,NA,NA,1,NA,NA,NA,0,NA,NA,NA,NA,NA,1,NA,NA
